Instance,RLWCN250

VEHICLE,4
VEHICLE_TYPE,NUMBER,CAPACITY,COST
V10,20,90,1
V11,10,180,2
V20,20,90,1.5
V21,9,150,3

CUSTOMER,250
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
59,32.0,1,0,40.0,2,91.0;152.0#342.0;403.0
60,33.0,0,0,40.0,1,65.0;242.0
61,11.0,0,0,40.0,1,161.0;223.0
62,18.0,0,0,40.0,1,138.0;199.0
63,18.0,1,1,40.0,1,116.0;178.0
64,9.0,1,0,40.0,1,141.0;205.0
65,18.0,0,1,40.0,2,63.0;240.0#256.0;432.0
66,18.0,0,0,40.0,1,66.0;189.0
67,6.0,0,0,40.0,1,220.0;399.0
68,9.0,0,0,40.0,1,113.0;348.0
69,35.0,0,0,40.0,1,133.0;251.0
70,27.0,0,0,40.0,1,199.0;438.0
71,19.0,0,0,40.0,1,294.0;359.0
72,12.0,0,0,40.0,2,20.0;138.0#239.0;355.0
73,13.0,1,0,40.0,1,217.0;279.0
74,8.0,0,1,40.0,2,165.0;225.0#269.0;332.0
75,20.0,1,0,40.0,1,205.0;267.0
76,10.0,0,0,40.0,1,319.0;380.0
77,9.0,0,1,40.0,1,294.0;356.0
78,19.0,0,0,40.0,1,403.0;466.0
79,31.0,1,1,40.0,1,179.0;242.0
80,21.0,1,0,40.0,1,132.0;252.0
81,24.0,0,0,40.0,2,171.0;231.0#256.0;319.0
82,24.0,0,0,40.0,2,109.0;286.0#297.0;474.0
83,1.0,0,0,40.0,2,107.0;225.0#279.0;396.0
84,12.0,1,0,40.0,1,28.0;206.0
85,22.0,0,0,40.0,2,50.0;112.0#115.0;176.0
86,13.0,1,1,40.0,2,47.0;112.0#232.0;295.0
87,22.0,0,0,40.0,1,75.0;193.0
88,37.0,0,0,40.0,3,81.0;146.0#148.0;213.0#224.0;287.0
89,19.0,1,0,40.0,1,4.0;180.0
90,23.0,0,0,40.0,1,141.0;203.0
91,12.0,0,1,40.0,2,156.0;271.0#296.0;414.0
92,21.0,1,0,40.0,1,108.0;225.0
93,27.0,0,1,40.0,2,152.0;215.0#226.0;287.0
94,23.0,1,0,40.0,1,103.0;459.0
95,16.0,1,1,40.0,1,185.0;363.0
96,16.0,1,1,40.0,2,106.0;166.0#262.0;323.0
97,4.0,1,0,40.0,1,65.0;305.0
98,17.0,1,0,40.0,1,226.0;341.0
99,26.0,0,1,40.0,1,226.0;345.0
100,21.0,1,0,40.0,1,394.0;456.0
101,41.0,0,0,40.0,1,207.0;288.0
102,19.0,1,0,40.0,3,9.0;111.0#175.0;287.0#341.0;425.0
103,17.0,1,1,40.0,2,154.0;205.0#260.0;406.0
104,20.0,0,0,40.0,2,192.0;277.0#350.0;410.0
105,21.0,0,0,40.0,1,207.0;312.0
106,18.0,1,1,40.0,1,86.0;197.0
107,46.0,0,0,40.0,1,264.0;358.0
108,10.0,0,0,40.0,3,16.0;69.0#133.0;207.0#262.0;381.0
109,9.0,0,0,40.0,1,48.0;126.0
110,12.0,1,1,40.0,3,70.0;162.0#238.0;347.0#400.0;463.0
111,23.0,0,0,40.0,2,174.0;290.0#365.0;476.0
112,22.0,0,1,40.0,2,45.0;168.0#241.0;330.0
113,42.0,0,0,40.0,1,90.0;211.0
114,13.0,1,0,40.0,1,224.0;348.0
115,32.0,1,1,40.0,1,298.0;353.0
116,10.0,0,0,40.0,1,228.0;363.0
117,16.0,1,1,40.0,2,120.0;208.0#283.0;340.0
118,17.0,0,1,40.0,1,73.0;137.0
119,17.0,0,1,40.0,2,136.0;196.0#251.0;348.0
120,36.0,0,1,40.0,2,69.0;205.0#268.0;359.0
121,28.0,0,0,40.0,2,172.0;236.0#299.0;371.0
122,23.0,0,0,40.0,2,163.0;280.0#322.0;448.0
123,13.0,0,0,40.0,3,21.0;141.0#196.0;313.0#351.0;401.0
124,17.0,0,1,40.0,1,38.0;178.0
125,12.0,1,0,40.0,2,152.0;218.0#249.0;337.0
126,2.0,0,0,40.0,3,78.0;224.0#282.0;344.0#404.0;471.0
127,9.0,0,0,40.0,3,84.0;185.0#264.0;357.0#421.0;479.0
128,11.0,0,1,40.0,1,260.0;318.0
129,30.0,0,0,40.0,1,130.0;189.0
130,25.0,0,1,40.0,2,160.0;216.0#291.0;392.0
131,34.0,0,1,40.0,1,296.0;436.0
132,5.0,0,0,40.0,1,90.0;194.0
133,19.0,1,0,40.0,2,75.0;158.0#201.0;263.0
134,29.0,0,0,40.0,1,89.0;220.0
135,17.0,1,1,40.0,1,83.0;136.0
136,18.0,0,0,40.0,1,44.0;126.0
137,7.0,0,0,40.0,1,270.0;364.0
138,40.0,0,1,40.0,1,87.0;156.0
139,8.0,0,1,40.0,1,97.0;218.0
140,21.0,0,1,40.0,1,95.0;209.0
141,19.0,0,0,40.0,1,141.0;194.0
142,18.0,0,0,40.0,3,27.0;113.0#168.0;300.0#369.0;430.0
143,9.0,1,0,40.0,1,237.0;340.0
144,26.0,0,0,40.0,2,84.0;200.0#244.0;373.0
145,24.0,0,0,40.0,1,203.0;336.0
146,17.0,1,1,40.0,1,69.0;120.0
147,39.0,0,0,40.0,1,263.0;365.0
148,9.0,0,1,40.0,2,141.0;252.0#282.0;367.0
149,15.0,0,1,40.0,1,267.0;357.0
150,21.0,0,0,40.0,2,124.0;227.0#306.0;392.0
151,21.0,0,0,40.0,2,0.0;60.0#114.0;238.0
152,16.0,1,0,40.0,1,254.0;392.0
153,19.0,0,0,40.0,2,111.0;231.0#285.0;412.0
154,2.0,0,0,40.0,1,247.0;389.0
155,26.0,0,1,40.0,1,174.0;274.0
156,32.0,0,1,40.0,1,2.0;101.0
157,22.0,0,0,40.0,1,299.0;424.0
158,18.0,0,1,40.0,2,32.0;127.0#179.0;311.0
159,34.0,0,1,40.0,1,94.0;232.0
160,14.0,0,0,40.0,1,136.0;275.0
161,11.0,0,1,40.0,2,139.0;268.0#332.0;458.0
162,33.0,0,1,40.0,3,73.0;138.0#198.0;281.0#314.0;427.0
163,21.0,0,0,40.0,1,59.0;117.0
164,25.0,1,1,40.0,1,224.0;326.0
165,24.0,1,0,40.0,1,217.0;325.0
166,33.0,0,0,40.0,1,165.0;218.0
167,5.0,1,0,40.0,1,89.0;140.0
168,28.0,0,0,40.0,1,45.0;192.0
169,8.0,0,0,40.0,2,151.0;277.0#316.0;401.0
170,29.0,0,0,40.0,1,133.0;250.0
171,31.0,0,0,40.0,1,36.0;170.0
172,16.0,1,1,40.0,2,194.0;247.0#305.0;446.0
173,25.0,0,1,40.0,1,68.0;214.0
174,17.0,0,0,40.0,2,78.0;204.0#240.0;350.0
175,11.0,0,0,40.0,3,58.0;187.0#266.0;375.0#405.0;465.0
176,11.0,0,1,40.0,1,190.0;304.0
177,14.0,0,1,40.0,2,107.0;158.0#236.0;325.0
178,29.0,0,0,40.0,1,20.0;156.0
179,16.0,0,1,40.0,1,203.0;322.0
180,27.0,0,1,40.0,1,236.0;328.0
181,38.0,0,0,40.0,1,298.0;366.0
182,19.0,0,0,40.0,1,39.0;111.0
183,1.0,0,1,40.0,1,216.0;317.0
184,17.0,1,0,40.0,2,75.0;131.0#200.0;293.0
185,21.0,1,0,40.0,2,182.0;289.0#329.0;380.0
186,1.0,0,0,40.0,1,213.0;355.0
187,2.0,1,0,40.0,1,126.0;179.0
188,42.0,0,1,40.0,1,199.0;290.0
189,25.0,0,0,40.0,1,159.0;280.0
190,17.0,0,0,40.0,1,62.0;187.0
191,21.0,0,0,40.0,1,33.0;123.0
192,11.0,0,0,40.0,1,297.0;437.0
193,24.0,0,1,40.0,1,144.0;271.0
194,5.0,1,0,40.0,2,96.0;212.0#247.0;315.0
195,10.0,0,1,40.0,3,38.0;160.0#199.0;289.0#336.0;414.0
196,22.0,0,0,40.0,2,194.0;261.0#329.0;463.0
197,22.0,1,0,40.0,1,28.0;175.0
198,13.0,1,0,40.0,2,96.0;232.0#305.0;375.0
199,18.0,0,0,40.0,1,147.0;286.0
200,41.0,0,0,40.0,1,288.0;437.0
201,5.0,0,0,40.0,2,142.0;278.0#319.0;444.0
202,14.0,0,0,40.0,1,14.0;96.0
203,12.0,0,1,40.0,1,149.0;281.0
204,14.0,0,0,40.0,1,211.0;270.0
205,20.0,0,0,40.0,1,126.0;176.0
206,30.0,0,0,40.0,1,108.0;243.0
207,19.0,0,0,40.0,1,124.0;217.0
208,27.0,0,0,40.0,2,68.0;126.0#167.0;256.0
209,20.0,1,1,40.0,1,237.0;372.0
210,30.0,0,0,40.0,1,65.0;139.0
211,20.0,1,0,40.0,1,194.0;309.0
212,22.0,0,1,40.0,2,167.0;310.0#362.0;429.0
213,13.0,1,0,40.0,1,255.0;335.0
214,11.0,0,0,40.0,1,292.0;355.0
215,15.0,0,1,40.0,2,147.0;200.0#279.0;370.0
216,25.0,1,0,40.0,1,231.0;293.0
217,18.0,1,0,40.0,2,194.0;335.0#371.0;473.0
218,5.0,1,0,40.0,2,40.0;90.0#166.0;216.0
219,19.0,0,0,40.0,3,59.0;167.0#199.0;256.0#327.0;381.0
220,22.0,1,0,40.0,2,64.0;210.0#249.0;394.0
221,11.0,0,0,40.0,2,134.0;199.0#257.0;405.0
222,46.0,1,0,40.0,1,258.0;378.0
223,32.0,0,0,40.0,1,134.0;247.0
224,20.0,1,0,40.0,1,75.0;186.0
225,7.0,0,0,40.0,1,78.0;164.0
226,21.0,0,0,40.0,1,73.0;168.0
227,6.0,1,1,40.0,3,85.0;177.0#246.0;365.0#397.0;448.0
228,12.0,0,0,40.0,3,75.0;129.0#171.0;239.0#276.0;397.0
229,21.0,0,1,40.0,2,165.0;286.0#318.0;464.0
230,16.0,0,0,40.0,1,87.0;216.0
231,20.0,1,0,40.0,1,46.0;168.0
232,14.0,1,1,40.0,2,75.0;143.0#209.0;275.0
233,9.0,0,1,40.0,1,21.0;129.0
234,24.0,0,1,40.0,1,264.0;326.0
235,21.0,1,0,40.0,2,183.0;282.0#334.0;438.0
236,13.0,0,0,40.0,1,196.0;250.0
237,33.0,0,0,40.0,1,202.0;343.0
238,19.0,1,0,40.0,1,136.0;238.0
239,17.0,0,0,40.0,1,257.0;322.0
240,8.0,0,0,40.0,2,135.0;214.0#270.0;335.0
241,27.0,0,0,40.0,1,238.0;318.0
242,5.0,0,0,40.0,2,32.0;146.0#199.0;292.0
243,31.0,0,0,40.0,3,7.0;118.0#151.0;264.0#329.0;478.0
244,8.0,0,0,40.0,1,3.0;95.0
245,9.0,0,1,40.0,1,46.0;97.0
246,8.0,1,0,40.0,1,31.0;145.0
247,17.0,0,0,40.0,1,186.0;327.0
248,30.0,0,0,40.0,1,175.0;260.0
249,16.0,1,0,40.0,2,36.0;137.0#193.0;314.0
250,10.0,0,0,40.0,3,55.0;135.0#214.0;338.0#402.0;458.0
