Instance,RLHSN150

VEHICLE,4
VEHICLE_TYPE,NUMBER,CAPACITY,COST
V10,22,80,1
V11,12,160,2
V20,20,80,1.5
V21,10,150,3

CUSTOMER,150
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
113,3.0,1,0,30.0,2,128.0;266.0#339.0;457.0
114,13.0,0,0,30.0,1,271.0;341.0
115,10.0,1,1,30.0,1,54.0;193.0
116,2.0,0,0,30.0,1,189.0;273.0
117,10.0,0,1,30.0,2,101.0;219.0#277.0;379.0
118,36.0,0,0,30.0,1,207.0;298.0
119,28.0,0,1,30.0,1,77.0;192.0
120,13.0,0,0,30.0,3,73.0;187.0#247.0;335.0#407.0;466.0
121,27.0,1,1,30.0,1,22.0;75.0
122,24.0,0,0,30.0,3,95.0;145.0#190.0;262.0#296.0;355.0
123,2.0,1,0,30.0,1,28.0;107.0
124,4.0,0,1,30.0,2,171.0;265.0#342.0;407.0
125,11.0,0,1,30.0,1,2.0;150.0
126,30.0,1,0,30.0,1,44.0;95.0
127,25.0,1,1,30.0,3,91.0;211.0#265.0;356.0#388.0;468.0
128,26.0,0,0,30.0,3,27.0;127.0#193.0;330.0#360.0;459.0
129,23.0,0,1,30.0,1,57.0;176.0
130,29.0,0,0,30.0,3,34.0;171.0#233.0;379.0#412.0;476.0
131,18.0,0,1,30.0,2,148.0;296.0#345.0;470.0
132,13.0,1,1,30.0,1,261.0;313.0
133,18.0,0,0,30.0,1,119.0;247.0
134,40.0,0,0,30.0,1,217.0;295.0
135,33.0,0,0,30.0,2,116.0;210.0#289.0;396.0
136,8.0,1,1,30.0,1,136.0;275.0
137,21.0,1,1,30.0,2,136.0;237.0#310.0;429.0
138,19.0,1,0,30.0,1,9.0;113.0
139,12.0,0,0,30.0,1,243.0;328.0
140,18.0,1,0,30.0,1,233.0;312.0
141,9.0,0,0,30.0,1,0.0;51.0
142,26.0,0,0,30.0,1,12.0;106.0
143,24.0,0,0,30.0,1,32.0;138.0
144,17.0,0,0,30.0,3,10.0;102.0#155.0;258.0#329.0;444.0
145,9.0,0,0,30.0,1,255.0;344.0
146,15.0,1,0,30.0,1,290.0;374.0
147,16.0,0,0,30.0,1,7.0;91.0
148,18.0,1,0,30.0,1,163.0;220.0
149,26.0,0,0,30.0,1,193.0;247.0
150,26.0,0,0,30.0,1,260.0;364.0
