Instance,RLWCN350

VEHICLE,4
VEHICLE_TYPE,NUMBER,CAPACITY,COST
V10,20,90,1
V11,10,180,2
V20,20,90,1.5
V21,9,150,3

CUSTOMER,350
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
60,35.0,1,1,40.0,1,65.0;242.0
61,12.0,0,0,40.0,1,161.0;223.0
62,12.0,1,1,40.0,1,138.0;199.0
63,11.0,0,1,40.0,1,116.0;178.0
64,18.0,1,0,40.0,1,141.0;205.0
65,18.0,0,0,40.0,2,63.0;240.0#256.0;432.0
66,9.0,0,1,40.0,1,66.0;189.0
67,15.0,0,1,40.0,1,220.0;399.0
68,18.0,0,0,40.0,1,113.0;348.0
69,11.0,0,1,40.0,1,133.0;251.0
70,6.0,1,1,40.0,1,199.0;438.0
71,9.0,1,0,40.0,1,294.0;359.0
72,1.0,0,0,40.0,2,20.0;138.0#239.0;355.0
73,27.0,0,0,40.0,1,217.0;279.0
74,12.0,1,0,40.0,2,165.0;225.0#269.0;332.0
75,29.0,0,0,40.0,1,205.0;267.0
76,13.0,1,0,40.0,1,319.0;380.0
77,8.0,1,1,40.0,1,294.0;356.0
78,10.0,0,0,40.0,1,403.0;466.0
79,6.0,0,0,40.0,1,179.0;242.0
80,21.0,0,0,40.0,1,132.0;252.0
81,9.0,0,0,40.0,2,171.0;231.0#256.0;319.0
82,8.0,0,0,40.0,2,109.0;286.0#297.0;474.0
83,31.0,0,0,40.0,2,107.0;225.0#279.0;396.0
84,24.0,0,1,40.0,1,28.0;206.0
85,24.0,0,1,40.0,2,50.0;112.0#115.0;176.0
86,12.0,0,0,40.0,2,47.0;112.0#232.0;295.0
87,15.0,0,0,40.0,1,75.0;193.0
88,22.0,1,0,40.0,3,81.0;146.0#148.0;213.0#224.0;287.0
89,13.0,0,1,40.0,1,4.0;180.0
90,22.0,1,1,40.0,1,141.0;203.0
91,37.0,1,0,40.0,2,156.0;271.0#296.0;414.0
92,19.0,1,0,40.0,1,108.0;225.0
93,12.0,1,0,40.0,2,152.0;215.0#226.0;287.0
94,21.0,0,0,40.0,1,103.0;459.0
95,2.0,1,0,40.0,1,185.0;363.0
96,23.0,0,0,40.0,2,106.0;166.0#262.0;323.0
97,29.0,1,0,40.0,1,65.0;305.0
98,16.0,0,1,40.0,1,226.0;341.0
99,16.0,0,0,40.0,1,226.0;345.0
100,4.0,0,0,40.0,1,394.0;456.0
101,17.0,0,0,40.0,2,78.0;202.0#269.0;335.0
102,26.0,0,0,40.0,2,15.0;162.0#202.0;284.0
103,9.0,0,0,40.0,2,15.0;96.0#157.0;234.0
104,41.0,0,0,40.0,2,106.0;243.0#309.0;387.0
105,19.0,0,0,40.0,1,103.0;167.0
106,17.0,1,0,40.0,2,127.0;201.0#245.0;316.0
107,20.0,1,0,40.0,1,213.0;315.0
108,26.0,0,0,40.0,2,61.0;168.0#221.0;300.0
109,21.0,0,0,40.0,3,22.0;103.0#176.0;303.0#338.0;427.0
110,8.0,1,1,40.0,1,297.0;356.0
111,18.0,0,0,40.0,2,58.0;115.0#157.0;259.0
112,4.0,1,1,40.0,2,114.0;200.0#256.0;400.0
113,10.0,0,0,40.0,1,273.0;379.0
114,9.0,1,0,40.0,1,144.0;210.0
115,30.0,0,0,40.0,2,161.0;230.0#271.0;419.0
116,12.0,1,1,40.0,1,226.0;323.0
117,25.0,0,0,40.0,1,215.0;286.0
118,23.0,0,0,40.0,1,221.0;299.0
119,22.0,1,1,40.0,2,76.0;214.0#293.0;386.0
120,42.0,0,0,40.0,1,188.0;311.0
121,15.0,1,1,40.0,2,174.0;262.0#339.0;458.0
122,32.0,0,0,40.0,1,99.0;150.0
123,10.0,0,0,40.0,1,257.0;367.0
124,16.0,0,0,40.0,1,260.0;398.0
125,17.0,1,0,40.0,2,34.0;164.0#195.0;294.0
126,17.0,0,0,40.0,1,95.0;235.0
127,35.0,0,0,40.0,1,83.0;215.0
128,10.0,0,0,40.0,1,253.0;338.0
129,36.0,1,0,40.0,2,79.0;166.0#221.0;303.0
130,28.0,0,0,40.0,2,63.0;129.0#186.0;321.0
131,23.0,1,0,40.0,2,126.0;225.0#286.0;337.0
132,27.0,1,1,40.0,1,58.0;133.0
133,24.0,1,0,40.0,2,83.0;207.0#249.0;372.0
134,17.0,0,0,40.0,1,191.0;272.0
135,12.0,0,0,40.0,1,148.0;297.0
136,14.0,0,0,40.0,3,27.0;110.0#151.0;297.0#347.0;480.0
137,9.0,0,0,40.0,1,85.0;169.0
138,11.0,0,1,40.0,2,29.0;178.0#244.0;376.0
139,25.0,0,1,40.0,2,168.0;276.0#308.0;437.0
140,26.0,1,0,40.0,1,288.0;363.0
141,5.0,0,1,40.0,2,11.0;89.0#123.0;208.0
142,29.0,1,1,40.0,1,88.0;139.0
143,18.0,0,1,40.0,1,234.0;352.0
144,13.0,0,1,40.0,1,15.0;112.0
145,18.0,0,0,40.0,1,112.0;169.0
146,33.0,0,0,40.0,1,26.0;170.0
147,21.0,1,0,40.0,1,60.0;203.0
148,18.0,1,0,40.0,2,45.0;112.0#150.0;279.0
149,19.0,0,0,40.0,2,106.0;165.0#198.0;334.0
150,12.0,0,0,40.0,2,163.0;277.0#348.0;435.0
151,9.0,0,0,40.0,3,48.0;103.0#134.0;234.0#306.0;431.0
152,24.0,0,0,40.0,1,44.0;160.0
153,17.0,0,0,40.0,3,26.0;141.0#206.0;270.0#328.0;466.0
154,39.0,1,1,40.0,1,154.0;298.0
155,21.0,0,1,40.0,1,258.0;384.0
156,21.0,1,0,40.0,1,216.0;277.0
157,16.0,0,1,40.0,1,104.0;207.0
158,19.0,0,0,40.0,1,299.0;358.0
159,2.0,1,0,40.0,1,186.0;252.0
160,23.0,1,0,40.0,1,143.0;201.0
161,32.0,0,0,40.0,1,94.0;192.0
162,22.0,0,0,40.0,1,10.0;127.0
163,4.0,0,0,40.0,2,19.0;135.0#193.0;284.0
164,16.0,0,0,40.0,2,87.0;212.0#287.0;363.0
165,34.0,0,0,40.0,1,76.0;211.0
166,14.0,0,0,40.0,2,16.0;146.0#211.0;299.0
167,33.0,0,0,40.0,1,26.0;86.0
168,25.0,0,0,40.0,1,207.0;319.0
169,12.0,0,0,40.0,1,142.0;275.0
170,33.0,0,0,40.0,1,113.0;251.0
171,12.0,0,1,40.0,2,86.0;150.0#199.0;289.0
172,5.0,1,1,40.0,1,102.0;226.0
173,29.0,0,1,40.0,1,125.0;240.0
174,28.0,0,1,40.0,2,7.0;75.0#120.0;180.0
175,29.0,0,1,40.0,2,153.0;238.0#287.0;435.0
176,22.0,0,0,40.0,2,147.0;267.0#341.0;462.0
177,31.0,0,1,40.0,1,83.0;171.0
178,5.0,0,0,40.0,3,33.0;126.0#159.0;226.0#301.0;435.0
179,16.0,1,0,40.0,1,274.0;370.0
180,25.0,1,0,40.0,1,33.0;119.0
181,17.0,1,0,40.0,1,211.0;338.0
182,15.0,0,1,40.0,1,36.0;123.0
183,11.0,1,1,40.0,1,112.0;174.0
184,14.0,0,0,40.0,3,83.0;149.0#200.0;296.0#337.0;412.0
185,21.0,0,1,40.0,1,13.0;118.0
186,8.0,1,0,40.0,1,221.0;277.0
187,16.0,0,1,40.0,2,196.0;301.0#376.0;441.0
188,38.0,0,0,40.0,1,5.0;56.0
189,19.0,0,0,40.0,2,105.0;160.0#231.0;346.0
190,23.0,0,1,40.0,2,47.0;191.0#228.0;358.0
191,21.0,0,0,40.0,2,85.0;139.0#186.0;301.0
192,1.0,0,1,40.0,3,98.0;156.0#195.0;282.0#340.0;401.0
193,2.0,0,1,40.0,1,158.0;260.0
194,25.0,1,0,40.0,2,94.0;191.0#256.0;370.0
195,17.0,0,0,40.0,1,103.0;166.0
196,27.0,1,0,40.0,2,190.0;310.0#360.0;450.0
197,21.0,1,1,40.0,1,19.0;86.0
198,11.0,0,0,40.0,1,285.0;417.0
199,5.0,1,0,40.0,2,163.0;276.0#320.0;373.0
200,10.0,0,1,40.0,1,168.0;300.0
201,23.0,1,1,40.0,2,164.0;221.0#295.0;369.0
202,17.0,0,1,40.0,2,145.0;196.0#270.0;365.0
203,13.0,0,0,40.0,2,170.0;235.0#271.0;377.0
204,22.0,0,0,40.0,1,155.0;250.0
205,41.0,0,0,40.0,3,18.0;107.0#179.0;274.0#336.0;454.0
206,5.0,1,0,40.0,2,90.0;200.0#250.0;344.0
207,14.0,1,1,40.0,1,236.0;313.0
208,17.0,0,0,40.0,1,100.0;222.0
209,14.0,0,0,40.0,1,193.0;291.0
210,5.0,1,0,40.0,1,266.0;359.0
211,19.0,0,0,40.0,1,62.0;141.0
212,27.0,1,1,40.0,1,112.0;213.0
213,20.0,0,0,40.0,2,9.0;97.0#175.0;230.0
214,24.0,0,1,40.0,1,223.0;327.0
215,37.0,0,0,40.0,1,277.0;385.0
216,20.0,0,1,40.0,1,31.0;177.0
217,22.0,0,0,40.0,1,136.0;212.0
218,13.0,0,1,40.0,1,68.0;186.0
219,21.0,0,1,40.0,1,161.0;248.0
220,11.0,0,0,40.0,1,15.0;101.0
221,15.0,0,0,40.0,1,267.0;329.0
222,25.0,0,0,40.0,1,83.0;210.0
223,5.0,0,0,40.0,1,8.0;69.0
224,19.0,0,1,40.0,1,120.0;229.0
225,22.0,0,1,40.0,1,268.0;367.0
226,46.0,1,0,40.0,1,15.0;124.0
227,20.0,0,1,40.0,2,77.0;202.0#237.0;386.0
228,6.0,0,0,40.0,2,168.0;316.0#365.0;421.0
229,31.0,0,0,40.0,1,213.0;342.0
230,18.0,0,1,40.0,2,90.0;199.0#276.0;342.0
231,16.0,0,0,40.0,1,105.0;181.0
232,20.0,0,1,40.0,2,160.0;267.0#326.0;385.0
233,14.0,0,1,40.0,3,39.0;152.0#208.0;328.0#366.0;460.0
234,9.0,1,0,40.0,1,51.0;141.0
235,24.0,0,0,40.0,1,26.0;105.0
236,21.0,0,0,40.0,3,63.0;200.0#238.0;311.0#375.0;478.0
237,13.0,0,0,40.0,1,107.0;188.0
238,33.0,1,1,40.0,1,4.0;62.0
239,19.0,0,0,40.0,3,66.0;138.0#190.0;282.0#346.0;473.0
240,4.0,0,0,40.0,2,91.0;208.0#255.0;321.0
241,8.0,0,0,40.0,1,291.0;366.0
242,2.0,0,0,40.0,3,96.0;221.0#291.0;363.0#404.0;461.0
243,5.0,0,0,40.0,1,110.0;165.0
244,8.0,0,0,40.0,3,49.0;159.0#219.0;347.0#377.0;440.0
245,15.0,0,1,40.0,1,8.0;79.0
246,9.0,0,0,40.0,3,42.0;135.0#170.0;290.0#336.0;435.0
247,8.0,0,0,40.0,1,108.0;159.0
248,17.0,0,1,40.0,2,134.0;241.0#275.0;335.0
249,18.0,1,0,40.0,1,212.0;304.0
250,30.0,0,0,40.0,2,161.0;255.0#288.0;409.0
251,16.0,0,0,40.0,3,30.0;82.0#124.0;226.0#275.0;390.0
252,10.0,1,0,40.0,1,62.0;123.0
253,22.0,0,0,40.0,2,119.0;199.0#258.0;404.0
254,16.0,0,1,40.0,1,230.0;347.0
255,5.0,0,1,40.0,1,150.0;265.0
256,12.0,0,0,40.0,1,269.0;410.0
257,9.0,0,0,40.0,2,12.0;73.0#150.0;275.0
258,17.0,1,1,40.0,1,32.0;178.0
259,38.0,0,1,40.0,3,87.0;218.0#290.0;379.0#425.0;476.0
260,19.0,0,0,40.0,1,208.0;274.0
261,14.0,0,1,40.0,1,206.0;278.0
262,3.0,0,1,40.0,2,163.0;233.0#277.0;382.0
263,24.0,0,0,40.0,1,280.0;340.0
264,10.0,0,0,40.0,2,112.0;249.0#307.0;422.0
265,21.0,1,0,40.0,1,192.0;243.0
266,19.0,0,0,40.0,3,9.0;158.0#207.0;333.0#405.0;459.0
267,17.0,0,0,40.0,1,153.0;251.0
268,17.0,0,0,40.0,3,1.0;125.0#167.0;277.0#342.0;479.0
269,27.0,1,0,40.0,1,230.0;347.0
270,2.0,0,1,40.0,1,127.0;271.0
271,8.0,0,0,40.0,1,206.0;282.0
272,8.0,0,0,40.0,2,104.0;154.0#222.0;312.0
273,11.0,0,0,40.0,2,119.0;212.0#254.0;318.0
274,35.0,0,0,40.0,1,265.0;325.0
275,26.0,0,0,40.0,1,105.0;229.0
276,12.0,0,0,40.0,1,106.0;204.0
277,19.0,0,0,40.0,1,116.0;200.0
278,23.0,1,1,40.0,1,216.0;360.0
279,14.0,1,0,40.0,1,125.0;265.0
280,13.0,1,0,40.0,3,41.0;96.0#158.0;292.0#356.0;471.0
281,12.0,0,0,40.0,2,58.0;132.0#198.0;337.0
282,18.0,0,1,40.0,2,115.0;209.0#269.0;377.0
283,13.0,1,1,40.0,3,59.0;206.0#246.0;315.0#352.0;411.0
284,27.0,0,0,40.0,1,108.0;193.0
285,6.0,0,0,40.0,2,146.0;234.0#264.0;408.0
286,29.0,0,0,40.0,2,98.0;246.0#282.0;354.0
287,16.0,1,1,40.0,3,4.0;107.0#172.0;258.0#293.0;437.0
288,15.0,1,0,40.0,1,39.0;172.0
289,6.0,0,0,40.0,1,193.0;295.0
290,25.0,0,0,40.0,2,61.0;115.0#188.0;309.0
291,10.0,0,0,40.0,1,270.0;402.0
292,11.0,0,0,40.0,1,148.0;294.0
293,12.0,0,0,40.0,3,57.0;135.0#174.0;290.0#352.0;449.0
294,12.0,0,1,40.0,3,99.0;169.0#224.0;361.0#393.0;472.0
295,14.0,1,0,40.0,2,160.0;280.0#329.0;403.0
296,30.0,1,1,40.0,1,32.0;175.0
297,33.0,0,0,40.0,1,18.0;97.0
298,11.0,0,1,40.0,1,277.0;403.0
299,22.0,0,0,40.0,2,42.0;182.0#225.0;290.0
300,26.0,1,0,40.0,1,108.0;191.0
301,5.0,1,0,40.0,1,108.0;245.0
302,13.0,1,1,40.0,2,98.0;184.0#245.0;353.0
303,7.0,0,0,40.0,3,60.0;203.0#264.0;390.0#424.0;474.0
304,15.0,0,1,40.0,1,41.0;106.0
305,15.0,0,0,40.0,1,182.0;271.0
306,15.0,0,1,40.0,1,294.0;401.0
307,25.0,0,0,40.0,1,12.0;82.0
308,26.0,1,0,40.0,1,170.0;241.0
309,27.0,1,0,40.0,1,273.0;361.0
310,29.0,1,1,40.0,2,19.0;112.0#179.0;322.0
311,12.0,0,1,40.0,1,219.0;270.0
312,34.0,0,0,40.0,3,21.0;128.0#160.0;257.0#294.0;361.0
313,8.0,0,0,40.0,1,125.0;237.0
314,12.0,1,1,40.0,2,51.0;196.0#251.0;322.0
315,25.0,1,0,40.0,1,130.0;274.0
316,26.0,0,0,40.0,1,48.0;138.0
317,27.0,0,1,40.0,1,150.0;208.0
318,17.0,0,0,40.0,1,162.0;305.0
319,15.0,1,1,40.0,1,257.0;398.0
320,10.0,1,0,40.0,2,132.0;275.0#333.0;467.0
321,18.0,1,0,40.0,2,108.0;197.0#240.0;333.0
322,6.0,0,1,40.0,2,165.0;278.0#348.0;469.0
323,25.0,0,1,40.0,2,26.0;135.0#199.0;336.0
324,17.0,1,0,40.0,2,188.0;246.0#282.0;341.0
325,5.0,0,1,40.0,1,208.0;295.0
326,18.0,0,1,40.0,2,117.0;191.0#265.0;353.0
327,20.0,0,0,40.0,1,293.0;378.0
328,13.0,0,0,40.0,2,59.0;140.0#194.0;266.0
329,16.0,1,0,40.0,1,251.0;307.0
330,31.0,1,0,40.0,1,145.0;250.0
331,10.0,0,0,40.0,1,100.0;167.0
332,7.0,0,0,40.0,1,38.0;131.0
333,45.0,0,1,40.0,1,68.0;141.0
334,12.0,0,0,40.0,1,136.0;213.0
335,32.0,0,0,40.0,1,165.0;281.0
336,5.0,0,0,40.0,2,153.0;204.0#267.0;358.0
337,15.0,0,0,40.0,2,194.0;283.0#340.0;455.0
338,11.0,0,0,40.0,1,71.0;166.0
339,14.0,0,0,40.0,1,187.0;284.0
340,28.0,0,0,40.0,1,109.0;258.0
341,13.0,0,0,40.0,1,84.0;149.0
342,18.0,1,1,40.0,1,152.0;282.0
343,13.0,0,0,40.0,1,191.0;332.0
344,16.0,0,0,40.0,1,34.0;119.0
345,16.0,1,1,40.0,2,62.0;144.0#221.0;297.0
346,8.0,0,0,40.0,1,20.0;136.0
347,7.0,0,0,40.0,3,84.0;144.0#185.0;245.0#285.0;339.0
348,20.0,0,1,40.0,1,88.0;212.0
349,26.0,0,0,40.0,1,10.0;113.0
350,20.0,0,0,40.0,1,176.0;311.0
