Instance,RLHSN200,,,,,
37,23,1,0,50,2,32.0;96.0#166.0;226.0
38,3,1,1,50,1,110.0;288.0
39,16,0,0,50,1,203.0;268.0
40,29,1,0,50,1,292.0;354.0
41,33,1,0,50,1,393.0;453.0
42,13,1,0,50,2,56.0;121.0#344.0;404.0
43,18,0,0,50,1,397.0;458.0
44,10,1,1,50,2,129.0;191.0#291.0;355.0
45,26,1,0,50,3,44.0;160.0#161.0;280.0#294.0;412.0
46,19,0,1,50,1,108.0;286.0
47,21,0,1,50,1,229.0;408.0
48,15,0,0,50,1,245.0;425.0
49,42,0,0,50,1,179.0;243.0
50,31,0,0,50,1,204.0;321.0
51,23,0,1,50,1,51.0;113.0
52,3,0,0,50,1,124.0;244.0
53,35,1,0,50,1,146.0;211.0
54,32,0,0,50,1,61.0;301.0
55,12,0,1,50,3,103.0;163.0#172.0;232.0#367.0;432.0
56,33,0,0,50,2,64.0;128.0#298.0;359.0
57,11,0,0,50,1,235.0;296.0
58,18,1,1,50,1,352.0;414.0
59,18,0,1,50,2,91.0;152.0#342.0;403.0
60,9,0,0,50,1,65.0;242.0
61,15,1,0,50,1,161.0;223.0
62,11,0,0,50,1,138.0;199.0
63,18,0,0,50,1,116.0;178.0
64,26,1,0,50,1,141.0;205.0
65,9,0,1,50,2,63.0;240.0#256.0;432.0
66,27,0,0,50,1,66.0;189.0
67,19,0,0,50,1,220.0;399.0
68,29,0,0,50,1,113.0;348.0
69,8,0,1,50,1,133.0;251.0
70,20,1,0,50,1,199.0;438.0
71,10,0,0,50,1,294.0;359.0
72,21,0,0,50,2,20.0;138.0#239.0;355.0
73,9,0,0,50,1,217.0;279.0
74,8,1,1,50,2,165.0;225.0#269.0;332.0
75,21,0,0,50,1,205.0;267.0
76,24,1,0,50,1,319.0;380.0
77,24,1,1,50,1,294.0;356.0
78,4,1,1,50,1,403.0;466.0
79,12,0,0,50,1,179.0;242.0
80,15,0,0,50,1,132.0;252.0
81,22,0,1,50,2,171.0;231.0#256.0;319.0
82,27,0,0,50,2,109.0;286.0#297.0;474.0
83,19,1,0,50,2,107.0;225.0#279.0;396.0
84,23,0,0,50,1,28.0;206.0
85,27,0,0,50,2,50.0;112.0#115.0;176.0
86,2,1,1,50,2,47.0;112.0#232.0;295.0
87,23,0,1,50,1,75.0;193.0
88,33,0,0,50,3,81.0;146.0#148.0;213.0#224.0;287.0
89,29,0,1,50,1,4.0;180.0
90,16,0,0,50,1,141.0;203.0
91,16,0,0,50,2,156.0;271.0#296.0;414.0
92,17,0,0,50,1,108.0;225.0
93,9,0,0,50,2,152.0;215.0#226.0;287.0
94,21,0,1,50,1,103.0;459.0
95,13,0,0,50,1,185.0;363.0
96,41,0,1,50,2,106.0;166.0#262.0;323.0
97,21,0,0,50,1,65.0;305.0
98,17,0,0,50,1,226.0;341.0
99,20,1,0,50,1,226.0;345.0
100,26,0,0,50,1,394.0;456.0
101,8,0,1,50,3,68.0;188.0#248.0;360.0#403.0;480.0
102,4,0,0,50,1,270.0;386.0
103,10,0,0,50,1,106.0;228.0
104,30,0,0,50,2,126.0;273.0#348.0;438.0
105,12,0,1,50,3,66.0;207.0#251.0;340.0#400.0;469.0
106,23,0,0,50,1,184.0;236.0
107,42,0,0,50,2,147.0;229.0#302.0;392.0
108,3,0,1,50,2,54.0;187.0#231.0;350.0
109,15,0,0,50,3,85.0;222.0#261.0;380.0#424.0;479.0
110,32,1,0,50,1,174.0;313.0
111,16,1,0,50,1,159.0;299.0
112,2,0,0,50,1,223.0;307.0
113,17,1,1,50,1,266.0;330.0
114,35,0,0,50,1,196.0;302.0
115,10,1,0,50,1,50.0;109.0
116,30,1,1,50,2,101.0;234.0#279.0;416.0
117,28,0,1,50,3,29.0;98.0#169.0;222.0#289.0;429.0
118,23,0,0,50,3,6.0;86.0#116.0;181.0#246.0;347.0
119,13,0,1,50,1,92.0;241.0
120,27,0,0,50,2,47.0;135.0#175.0;294.0
121,17,0,1,50,1,279.0;403.0
122,12,1,0,50,1,21.0;160.0
123,2,0,0,50,2,198.0;248.0#315.0;443.0
124,9,1,0,50,2,154.0;291.0#362.0;417.0
125,4,0,0,50,1,293.0;355.0
126,11,0,0,50,1,157.0;290.0
127,30,0,0,50,1,257.0;400.0
128,25,0,0,50,1,141.0;251.0
129,34,1,0,50,1,217.0;314.0
130,26,0,0,50,1,151.0;218.0
131,23,0,0,50,2,160.0;284.0#354.0;430.0
132,19,0,1,50,1,53.0;128.0
133,29,1,1,50,2,128.0;200.0#261.0;322.0
134,17,0,0,50,1,144.0;210.0
135,13,0,1,50,1,75.0;141.0
136,7,0,0,50,1,141.0;245.0
137,18,0,0,50,1,262.0;373.0
138,8,0,1,50,2,106.0;219.0#271.0;349.0
139,21,1,0,50,1,135.0;188.0
140,18,1,1,50,1,84.0;161.0
141,19,0,1,50,1,73.0;191.0
142,18,0,1,50,2,99.0;155.0#234.0;344.0
143,9,0,1,50,2,126.0;242.0#321.0;469.0
144,26,0,0,50,1,219.0;360.0
145,33,1,1,50,2,6.0;85.0#151.0;233.0
146,14,0,0,50,1,210.0;262.0
147,39,0,0,50,1,28.0;170.0
148,9,0,1,50,1,17.0;148.0
149,21,1,1,50,2,160.0;304.0#360.0;455.0
150,16,0,0,50,1,210.0;325.0
151,18,0,0,50,1,163.0;287.0
152,26,1,0,50,1,127.0;272.0
153,19,1,0,50,2,123.0;263.0#303.0;380.0
154,26,0,0,50,1,48.0;143.0
155,23,1,0,50,1,31.0;170.0
156,32,0,0,50,1,75.0;159.0
157,4,1,0,50,3,35.0;147.0#189.0;309.0#365.0;455.0
158,18,0,0,50,2,59.0;170.0#210.0;301.0
159,16,0,0,50,1,200.0;252.0
160,34,1,1,50,1,44.0;187.0
161,11,0,0,50,1,124.0;248.0
162,33,1,1,50,2,0.0;132.0#178.0;293.0
163,25,0,1,50,3,71.0;191.0#222.0;304.0#354.0;459.0
164,24,0,1,50,2,61.0;210.0#285.0;399.0
165,12,0,0,50,1,65.0;123.0
166,2,1,0,50,2,161.0;251.0#310.0;400.0
167,33,0,0,50,2,143.0;247.0#284.0;339.0
168,12,1,0,50,3,95.0;168.0#201.0;306.0#371.0;428.0
169,5,0,0,50,1,43.0;162.0
170,28,1,1,50,2,179.0;323.0#373.0;465.0
171,29,0,0,50,1,254.0;306.0
172,31,0,0,50,1,58.0;154.0
173,5,0,0,50,2,120.0;217.0#263.0;340.0
174,25,0,0,50,1,295.0;435.0
175,17,0,0,50,1,124.0;258.0
176,15,1,0,50,1,114.0;192.0
177,11,0,0,50,1,288.0;428.0
178,21,0,0,50,2,141.0;289.0#336.0;443.0
179,14,0,1,50,1,47.0;183.0
180,29,1,0,50,1,182.0;304.0
181,8,1,1,50,2,118.0;215.0#245.0;334.0
182,27,0,0,50,2,130.0;254.0#326.0;394.0
183,38,1,0,50,3,24.0;120.0#165.0;224.0#301.0;413.0
184,19,0,1,50,1,15.0;127.0
185,17,0,0,50,1,275.0;340.0
186,21,1,0,50,1,183.0;322.0
187,1,0,0,50,1,10.0;65.0
188,16,0,0,50,1,261.0;315.0
189,2,0,1,50,1,199.0;337.0
190,42,0,0,50,1,228.0;331.0
191,17,0,1,50,1,109.0;217.0
192,22,1,0,50,1,133.0;277.0
193,11,0,1,50,1,274.0;382.0
194,24,0,1,50,1,184.0;321.0
195,5,0,1,50,1,95.0;198.0
196,22,1,0,50,1,289.0;369.0
197,17,1,0,50,1,65.0;152.0
198,13,0,1,50,1,31.0;111.0
199,22,1,0,50,1,141.0;263.0
200,41,0,0,50,1,175.0;227.0
