Instance,RLJHN200

VEHICLE,4
VEHICLE_TYPE,NUMBER,CAPACITY,COST
V10,22,100,1
V11,12,200,2
V20,20,100,1.5
V21,10,180,3

CUSTOMER,200
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
65,29.0,1,1,40.0,2,63.0;240.0#256.0;432.0
66,13.0,0,0,40.0,1,66.0;189.0
67,8.0,1,0,40.0,1,220.0;399.0
68,6.0,0,0,40.0,1,113.0;348.0
69,9.0,1,0,40.0,1,133.0;251.0
70,8.0,1,0,40.0,1,199.0;438.0
71,19.0,0,1,40.0,1,294.0;359.0
72,31.0,0,1,40.0,2,20.0;138.0#239.0;355.0
73,21.0,1,1,40.0,1,217.0;279.0
74,24.0,0,0,40.0,2,165.0;225.0#269.0;332.0
75,12.0,1,1,40.0,1,205.0;267.0
76,15.0,0,0,40.0,1,319.0;380.0
77,22.0,1,1,40.0,1,294.0;356.0
78,27.0,0,1,40.0,1,403.0;466.0
79,19.0,0,0,40.0,1,179.0;242.0
80,23.0,1,0,40.0,1,132.0;252.0
81,12.0,0,0,40.0,2,171.0;231.0#256.0;319.0
82,21.0,0,0,40.0,2,109.0;286.0#297.0;474.0
83,2.0,1,0,40.0,2,107.0;225.0#279.0;396.0
84,23.0,0,0,40.0,1,28.0;206.0
85,29.0,0,0,40.0,2,50.0;112.0#115.0;176.0
86,16.0,0,0,40.0,2,47.0;112.0#232.0;295.0
87,16.0,0,1,40.0,1,75.0;193.0
88,4.0,0,0,40.0,3,81.0;146.0#148.0;213.0#224.0;287.0
89,26.0,0,0,40.0,1,4.0;180.0
90,21.0,0,0,40.0,1,141.0;203.0
91,41.0,1,0,40.0,2,156.0;271.0#296.0;414.0
92,21.0,0,0,40.0,1,108.0;225.0
93,19.0,0,0,40.0,2,152.0;215.0#226.0;287.0
94,17.0,0,1,40.0,1,103.0;459.0
95,20.0,0,0,40.0,1,185.0;363.0
96,26.0,1,0,40.0,2,106.0;166.0#262.0;323.0
97,21.0,0,0,40.0,1,65.0;305.0
98,8.0,1,1,40.0,1,226.0;341.0
99,4.0,0,0,40.0,1,226.0;345.0
100,10.0,0,0,40.0,1,394.0;456.0
101,9.0,0,0,40.0,1,265.0;376.0
102,30.0,1,0,40.0,1,150.0;223.0
103,12.0,1,0,40.0,1,195.0;319.0
104,25.0,0,0,40.0,1,152.0;237.0
105,22.0,0,0,40.0,1,197.0;340.0
106,42.0,0,1,40.0,1,281.0;358.0
107,13.0,0,1,40.0,1,195.0;284.0
108,15.0,0,0,40.0,1,62.0;197.0
109,32.0,1,0,40.0,3,79.0;193.0#252.0;313.0#386.0;446.0
110,16.0,0,1,40.0,1,73.0;149.0
111,17.0,0,0,40.0,1,47.0;192.0
112,17.0,1,0,40.0,3,53.0;127.0#183.0;330.0#374.0;452.0
113,35.0,1,0,40.0,2,111.0;193.0#253.0;312.0
114,10.0,1,1,40.0,1,274.0;413.0
115,36.0,1,0,40.0,1,6.0;118.0
116,30.0,0,0,40.0,2,31.0;121.0#166.0;259.0
117,28.0,0,0,40.0,2,172.0;288.0#329.0;397.0
118,23.0,1,1,40.0,1,6.0;153.0
119,13.0,0,0,40.0,1,34.0;128.0
120,17.0,0,0,40.0,1,260.0;340.0
121,2.0,0,0,40.0,1,185.0;237.0
122,9.0,0,0,40.0,2,39.0;109.0#180.0;269.0
123,4.0,0,0,40.0,1,277.0;376.0
124,11.0,0,0,40.0,2,53.0;131.0#161.0;222.0
125,34.0,0,0,40.0,3,61.0;182.0#214.0;310.0#375.0;446.0
126,5.0,0,1,40.0,1,163.0;249.0
127,23.0,0,0,40.0,1,274.0;385.0
128,19.0,1,0,40.0,1,110.0;194.0
129,29.0,0,1,40.0,2,140.0;286.0#357.0;420.0
130,17.0,0,0,40.0,1,194.0;276.0
131,13.0,0,1,40.0,2,25.0;115.0#152.0;230.0
132,7.0,1,0,40.0,1,149.0;272.0
133,33.0,0,0,40.0,1,65.0;169.0
134,18.0,0,1,40.0,1,242.0;352.0
135,19.0,1,1,40.0,1,49.0;165.0
136,12.0,0,0,40.0,1,128.0;226.0
137,18.0,0,0,40.0,1,35.0;163.0
138,26.0,1,0,40.0,2,9.0;92.0#133.0;245.0
139,33.0,0,1,40.0,1,191.0;278.0
140,24.0,0,0,40.0,1,143.0;282.0
141,17.0,1,0,40.0,1,130.0;219.0
142,9.0,0,0,40.0,1,240.0;316.0
143,21.0,1,0,40.0,2,166.0;232.0#302.0;394.0
144,26.0,0,0,40.0,2,32.0;176.0#254.0;361.0
145,26.0,0,0,40.0,3,50.0;146.0#188.0;308.0#345.0;469.0
146,32.0,0,1,40.0,1,164.0;230.0
147,18.0,1,0,40.0,3,17.0;68.0#132.0;231.0#266.0;366.0
148,16.0,0,1,40.0,1,222.0;348.0
149,11.0,0,1,40.0,2,77.0;209.0#244.0;338.0
150,34.0,1,0,40.0,1,181.0;297.0
151,14.0,0,0,40.0,1,282.0;404.0
152,11.0,0,0,40.0,1,237.0;369.0
153,33.0,0,0,40.0,2,165.0;252.0#285.0;346.0
154,25.0,0,0,40.0,1,257.0;363.0
155,24.0,1,0,40.0,2,76.0;148.0#180.0;259.0
156,33.0,0,0,40.0,2,46.0;167.0#213.0;362.0
157,12.0,0,1,40.0,2,135.0;215.0#280.0;358.0
158,5.0,0,0,40.0,1,104.0;249.0
159,29.0,1,0,40.0,2,183.0;251.0#295.0;431.0
160,5.0,0,0,40.0,2,149.0;218.0#251.0;308.0
161,29.0,0,0,40.0,2,65.0;138.0#189.0;247.0
162,31.0,1,1,40.0,1,227.0;303.0
163,25.0,1,1,40.0,1,294.0;425.0
164,17.0,1,0,40.0,1,28.0;170.0
165,11.0,1,0,40.0,2,83.0;177.0#228.0;318.0
166,11.0,1,0,40.0,2,74.0;171.0#239.0;344.0
167,14.0,0,0,40.0,2,71.0;178.0#216.0;292.0
168,21.0,1,0,40.0,2,12.0;97.0#161.0;227.0
169,14.0,0,0,40.0,1,34.0;176.0
170,8.0,0,1,40.0,2,122.0;261.0#319.0;382.0
171,8.0,0,0,40.0,1,42.0;133.0
172,16.0,0,0,40.0,2,157.0;268.0#342.0;461.0
173,38.0,0,0,40.0,1,56.0;183.0
174,23.0,0,0,40.0,1,113.0;222.0
175,1.0,1,0,40.0,2,12.0;64.0#128.0;219.0
176,17.0,1,0,40.0,3,84.0;168.0#211.0;311.0#350.0;456.0
177,21.0,1,0,40.0,1,210.0;290.0
178,1.0,0,0,40.0,2,160.0;225.0#295.0;386.0
179,17.0,1,1,40.0,1,170.0;227.0
180,16.0,0,1,40.0,2,172.0;289.0#348.0;400.0
181,2.0,1,0,40.0,1,247.0;327.0
182,42.0,0,0,40.0,1,158.0;285.0
183,17.0,1,1,40.0,2,70.0;177.0#236.0;308.0
184,27.0,0,1,40.0,1,20.0;76.0
185,22.0,0,1,40.0,2,65.0;117.0#167.0;276.0
186,11.0,0,0,40.0,1,179.0;231.0
187,5.0,0,1,40.0,1,81.0;221.0
188,22.0,0,0,40.0,2,48.0;180.0#233.0;361.0
189,22.0,0,0,40.0,3,27.0;88.0#148.0;292.0#345.0;448.0
190,13.0,0,0,40.0,1,213.0;341.0
191,41.0,0,0,40.0,2,154.0;301.0#371.0;479.0
192,12.0,0,1,40.0,1,157.0;305.0
193,14.0,0,1,40.0,1,29.0;127.0
194,14.0,0,1,40.0,1,292.0;393.0
195,5.0,0,1,40.0,2,170.0;272.0#333.0;473.0
196,30.0,0,0,40.0,1,21.0;159.0
197,19.0,0,0,40.0,2,196.0;303.0#342.0;417.0
198,27.0,0,0,40.0,2,144.0;292.0#369.0;444.0
199,24.0,0,0,40.0,2,56.0;124.0#170.0;224.0
200,20.0,0,0,40.0,1,207.0;329.0
